143992 elementi trovati.
abbiamo apprese : 16
abbiamo appunto : 16
abbiamo attesi : 16
abbiamo avute : 16
abbiamo battuta : 16
abbiamo cacciato : 16
abbiamo capitale : 16
abbiamo cominciato : 16
abbiamo con : 16
abbiamo conosciuto : 16
abbiamo considerato : 16
abbiamo corso : 16
abbiamo da : 16
abbiamo dato : 16
abbiamo del : 16
abbiamo detto : 32
abbiamo discusso : 16
abbiamo dovuto : 16
abbiamo estremo : 16
abbiamo fatta : 32
abbiamo fatto : 16
abbiamo finita : 16
abbiamo finora : 16
abbiamo focacce : 16
abbiamo formato : 16
abbiamo fretta : 32
abbiamo gi : 48
abbiamo gli : 16
abbiamo gran : 16
abbiamo il : 16
abbiamo in : 16
abbiamo informato : 16
abbiamo inteso : 16
abbiamo lasciati : 16
abbiamo lasciato : 32
abbiamo lope : 16
abbia molto : 16
abbiamo molti : 16
abbiamo nelle : 16
abbiamo nulla : 16
abbiamo nuove : 16
abbiamo ora : 16
abbiamo passare : 16
abbiamo passato : 16
abbiamo pensato : 16
abbiamo pi : 48
abbiamo pianto : 16
abbiamo provata : 16
abbiamo qua : 16
abbiamo qui : 64
abbiamo quivi : 16
abbiamo risposto : 16
abbiamo scoperto : 16
abbiamo sempre : 32
abbia mostrato : 16
abbiamo tagliati : 16
abbiamo tra : 16
abbiamo trovati : 16
abbiamo trovato : 16
abbiamo un : 48
abbiamo veduta : 32
abbiamo vedute : 16
abbiamo veduto : 48
abbiamo voluto : 16
abbian aspetto : 16
abbia necessit : 16
abbia nella : 16
abbiano a : 32
abbiano ad : 16
abbiano avute : 16
abbiano avuto : 48
abbiano castigati : 16
abbiano che : 16
abbiano copertoi : 16
abbiano costoro : 16
abbiano cuore : 16
abbiano da : 16
abbiano dall' : 16
abbiano danno : 16
abbiano dato : 16
abbiano dei : 16
abbiano divisato : 16
abbiano don : 16
abbiano due : 16
abbiano egualmente : 16
abbiano encomi : 16
abbiano fatte : 16
abbiano fatto : 32
abbiano gl' : 16
abbiano in : 32
abbiano lo : 16
abbiano mai : 16
abbiano messo : 16
abbiano mille : 16
abbia nominato : 16
abbiano ogni : 16
abbiano operato : 16
abbiano ottenuta : 16
abbiano passato : 16
abbiano poi : 16
abbiano potuto : 16
abbiano prescelto : 16
abbiano preso : 16
abbiano punto : 16
abbiano ridonata : 16
abbiano sanit : 16
abbiano sede : 16
abbiano servito : 16
abbiano signore : 16
abbiano sino : 16
abbiano tal : 16
abbiano tanta : 16
abbiano trasformata : 16
abbiano ucciso : 16
abbiano veduto : 32
abbiano voluto : 16
abbiansi ad : 16
abbianti in : 16
abbianvi al : 16
abbia o : 48
abbia occhi : 16
abbia operato : 16
abbia opportunit : 16
abbia ora : 16
abbia orazio : 16
abbia osato : 16
abbia parlato : 16
abbia paura : 16
abbia pazienza : 16
abbia per : 32
abbia perduto : 16
abbia permesso : 16
abbia pi : 32
abbia pienissima : 16
abbia piet : 16
abbia portato : 16
abbia posposto : 16
abbia potuto : 48
abbia proprio : 16
abbia pure : 16
abbia quel : 16
abbia questo : 16
abbia raccolte : 16
abbia registrato : 16
abbia ricevuto : 32
abbia ricuperato : 16
abbia rimedio : 16
abbia risaputo : 16
abbia s : 16
abbia scappata : 16
abbia scritta : 16
abbia scritte : 16
abbia scritto : 16
abbia sempre : 16
abbiasene a : 16
abbia senno : 16
abbia sentito : 16
abbia servito : 32
abbiasi cura : 16
abbia speso : 16
abbia studiati : 16
abbia tali : 16
abbia tante : 16
abbiate a : 48
abbiate ad : 64
abbiate ammazzato : 16
abbiate ciera : 16
abbiate da : 16
abbiate di : 16
abbiate fidanza : 16
abbiate in : 32
abbiate intese : 16
abbiate le : 16
abbiate maggiore : 16
abbiatemi gi : 16
abbiate occasione : 16
abbiate paura : 16
abbiate posto : 16
abbiate qualche : 16
abbia terminato : 32
abbia termine : 16
abbiate saputo : 16
abbiate udito : 16
abbiate vinto : 16
abbia trovate : 16
abbia uguale : 16
abbia un : 64
abbia una : 32
abbia veduta : 32
abbia veduto : 64
abbia vendicata : 16
abbia vendicato : 16
abbia voglia : 16
abbia voluto : 16
abbia vossignoria : 16
abbi detto : 16
abbietta la : 16
abbi pazienza : 32
abbi sofferenza : 16
abbisogna adunque : 16
abbisognano agli : 16
abbisognano d' : 16
abbisogna per : 16
abbisognasse il : 16
abbisognerebbe di : 16
abboccarsi col : 16
abboccarsi con : 16
abboccarsi fra : 16
abbominati con : 16
abbominazione agli : 16
abbominevole mostaccio : 16
abbonda di : 16
abbonda il : 16
abbondano elleno : 16
abbondante che : 16
abbondante e : 16
abbondante erba : 16
abbondante materia : 16
abbondantemente di : 16
abbondantemente e : 16
abbondante ricolta : 16
abbondanti acque : 16
abbondanti e : 16
abbondanti pascoli : 16
abbondantissimo di : 16
abbondanza che : 16
abbondanza da : 16
abbondanza del : 16
abbondanza della : 16
abbondanza delle : 32
abbondanza e : 16
abbondanza in : 16
abbondanza loro : 16
abbondanza trovata : 16
abbondanza va : 16
abbondare assai : 16
abbondavano quelle : 16
abbondevolmente dell' : 16
abbordarmi con : 16
abborrimento degli : 16
abborrisce tuttoch : 16
abborrisse la : 16
abborrite in : 16
abborrito cade : 16
abborron di : 16
abbracciai che : 16
abbraccia la : 16
abbracciamenti di : 16
abbracciamenti una : 16
abbracciando don : 16
abbracciandogli le : 32
abbracciando il : 32
abbracciandola e : 16
abbracciandolo per : 16
abbracciandolo strettamente : 16
abbracciando quel : 16
abbracciando strettamente : 16
abbracciar dorotea : 16
abbracciare dal : 16
abbracciare il : 16
abbracciare la : 32
abbracciare lo : 16
abbracciare suo : 16
abbracciargli le : 16
abbracciarmi colla : 16
abbracciarono e : 16
abbracciarono entrambi : 32
abbracciarono rassodando : 16
abbracciarono tutti : 16
abbracciassi le : 16
abbracciata la : 16
abbracciata lucinda : 16
abbracciatici tutti : 16
abbracciati don : 32
abbracciato il : 16
abbracciato l' : 16
abbracciava tutte : 16
abbraccio queste : 16
abbreviare il : 16
abbreviarla con : 16
abbreviarne il : 16
abbreviarvi la : 16
abbronzato dal : 16
abbruciandola cos : 16
abbruciare duemila : 16
abbruciare la : 16
abbruciate ceneri : 16
abbruciate le : 16
abbruciati come : 16
a bearti : 16
a bel : 16
a belerma : 16
a bella : 64
a bellezza : 16
a ben : 32
a benefizio : 16
a bere : 48
abile al : 16
abile e : 16
abile in : 16
abili di : 16
abilito a : 16
abissi del : 16
abissi della : 16
abissi e : 16
abisso che : 16
abisso chiama : 16
abisso dell' : 16
abisso della : 16
abisso di : 16
abisso e : 16
abisso gli : 16
abisso racchiude : 16
abisso tantalo : 16
abita in : 16
abitante a : 16
abitante di : 48
abitanti del : 48
abitanti dell' : 16
abitanti e : 16
abitanti gli : 16
abitanti non : 16
abitanti tutti : 16
abita oltremare : 16
abitare in : 16
abitare ordinariamente : 16
abitare tra : 16
abitar in : 16
abitata da : 16
abitato e : 16
abitatore delle : 16
abitatori dei : 16
abitatori della : 16
abitatori di : 32
abitatori tutti : 16
abitatrici di : 48
abita una : 16
abitava il : 16
abitava rimpetto : 16
abitava vicino : 16
abitazione d' : 16
abitazione di : 32
abitazione dicessero : 16
abitazione il : 16
abitazione vicina : 16
abitazioni coperte : 16
abitazioni dei : 16
abitazioni di : 16
abitazioni fabbricate : 16
abitazioni s : 16
abiti ch' : 16
abiti che : 32
abiti come : 16
abiti da : 16
abiti debbono : 16
abiti degli : 16
abiti di : 48
abiti diede : 16
abiti e : 16
abiti naturali : 16
abiti stessi : 16
abiti stravaganti : 16
abiti tuoi : 16
abito a : 16
abito bruno : 16
abito che : 112
abito d' : 16
abito da : 64
abito della : 16
abito di : 240
abito e : 96
abito in : 16
abito nero : 16
abito non : 32
abito s : 32
abito tanto : 16
abito un : 32
abito verde : 16
abito virile : 16
abituata a : 16
abituro pastorale : 16
a bocca : 96
a bordo : 16
aborrisce sempre : 16
aborrito mio : 16
a botti : 16
a braccia : 64
a braccio : 16
a bradamante : 16
a bramarsi : 16
a briglia : 16
a brun : 16
a bruno : 96
a buon : 384
a burle : 32
abusare n : 16
a buscare : 16
abusi da : 16
a bussare : 16
a cacciarsi : 48
a caco : 16
a cadenza : 16
a cadere : 16
a cagion : 32
a cagione : 80
a calare : 32
a calci : 48
a calpestar : 16
a calzarsi : 32
a camaccio : 16
a cambiamento : 16
a cambiarlo : 16
a cambiarsi : 16
a camilla : 304
a camminar : 16
a camminare : 80
a campo : 80
a cancellar : 16
a cancellare : 16
a candaia : 32
a cangiamento : 16
a cantare : 64
a canto : 112
a capire : 32
a capo : 416
a capriccio : 16
a caratteri : 16
a cardenio : 144
a carico : 112
a caro : 16
a carriera : 16
a cartagena : 16
a casa : 1040
a caso : 176
a castigare : 16
a castiglia : 16
a cataste : 16
a causa : 32
a cavalcare : 32
a cavalcione : 16
a cavalcioni : 16
a cavalier : 16
a cavaliere : 16
a cavalieri : 32
a cavallo : 1296
a cavare : 16
a cavarlo : 16
a cavarmela : 16
accada che : 16
accada dinanzi : 16
accadde a : 32
accadde al : 64
accadde all' : 16
accadde che : 64
accadde come : 16
accadde il : 16
accadde in : 16
accadde le : 16
accadde mentre : 16
accadde nel : 16
accadde nella : 16
accadde pertanto : 16
accadde poi : 16
accadde quanto : 16
accadde quello : 16
accadde questo : 16
accaddero cose : 32
accaddero nella : 16
accadde sei : 16
accadde un' : 16
accadde una : 16
accadde uno : 16
accade a : 16
accade agli : 16
accade che : 64
accade dei : 16
accade di : 16
accade il : 16
acca delle : 16
accade mai : 16
accademici dell' : 16
accademico affinch : 16
accademico argamassigliese : 16
accademico dell' : 80
accademie di : 16
accadendo che : 16
accadendo non : 16
accadendo talvolta : 16
accader cosa : 16
accadere che : 80
accadere di : 16
accadere in : 16
accadere le : 16
accadere nella : 16
accadere qualche : 16
accadere senza : 16
accadergli che : 16
accadergli di : 16
accaderle sano : 16
accaderne di : 16
accadesse cosa : 48
accadesse loro : 16
accadesse male : 16
accadesse nel : 16
accadesse per : 16
accadesse presentemente : 16
accadessero tante : 16
accadeva a : 16
accadono ad : 16
accadono degne : 16
accadono nel : 16
accadono tutte : 16
accaduta a : 48
accaduta gli : 16
accaduta la : 32
accaduta nel : 16
accaduta qualche : 32
accadute al : 32
accadute non : 16
accadute sono : 16
accaduto a : 16
accaduto al : 16
accaduto cercando : 16
accaduto certo : 16
accaduto con : 16
accaduto di : 16
accaduto fra : 16
accaduto in : 16
accadutole nella : 16
accaduto nel : 16
accaduto nella : 16
acca le : 16
accampando le : 16
accanita baruffa : 16
accanita e : 32
accanita guerra : 16
accaniti nemici : 16
accannellate si : 16
accanto a : 176
accanto ad : 16
accanto al : 32
accanto alla : 32
accanto alle : 48
accanto allo : 32
accanto altra : 16
accanto desiderosi : 16
accanto di : 48
accanto o : 16
accanto un : 16
accappiato che : 16
accarezzare da : 16
accarezzare la : 16
accarezzasse per : 16
accarezzava e : 16
accarezzi la : 16
accarezzi le : 16
accasare la : 32
accasarmi con : 16
accasarsi con : 32
accasarsi contro : 16
accasarsi meco : 16
accasasse sua : 16
accasassi s : 16
accasata la : 16
accasato con : 16
accattabrighe smodato : 16
accattando le : 16
accattare protezioni : 16
accavallare l' : 16
accecare dal : 16
accecarlo la : 16
accecaronoquasi gli : 16
accecasse la : 16
accecato dalla : 16
accecato l' : 16
accechi la : 16
accelera la : 16
accelerando con : 16
accelerando il : 16
accelerandone il : 16
accelerare di : 16
accelerare il : 32
accelerare la : 16
accelerare questa : 16
accelerarne troppo : 16
accelerate il : 32
accende per : 16
accenderebbe il : 16
accendere in : 16
accendere la : 16
accendere maggiormente : 16
accendergli talmente : 16
accendersi ed : 16
accendeva per : 16
accendono il : 16
accenna debb' : 16
accennando colui : 16
accennando il : 16
accennando lucinda : 16
accennata da : 16
accennate dallo : 16
accennate durante : 16
accennati strumenti : 16
accennato intorno : 16
accenni in : 16
accenni persone : 16
accenti interrotti : 16
accenti soavi : 16
accento che : 16
accento cos : 32
accento della : 16
accento ordinario : 16
accertandolo che : 16
accertarmi ch' : 16
accertarsene maggiormente : 16
accertarsi d' : 16
accertarsi se : 16
accertatamente chi : 16
accertatevi che : 16
accertatevi invece : 16
accertati ch' : 16
accertatosi ch' : 16
accertatosi che : 16
accesa che : 16
accesa di : 16
accesa e : 32
accesa grande : 16
accese cos : 16
accese di : 16
accese il : 16
accese in : 32
accese le : 16
accese un' : 16
accesi di : 16
accesi suoi : 16
acceso da : 16
acceso di : 16
acceso il : 16
acceso in : 16
acceso tosto : 16
accessi che : 16
accessi della : 16
accessi furiosi : 16
accesso che : 16
accesso della : 16
accesso di : 32
accesso le : 16
accettami se : 16
accettare alcuna : 16
accettare donna : 16
accettarli per : 16
accettarlo come : 16
accettarono l' : 16
accettarono per : 16
accettar per : 16
accettassi senza : 16
accettato avesse : 16
accettato e : 16
accettato il : 16
accettava la : 16
accettazione della : 16
accetto il : 32
accetto io : 16
accetto la : 16
acchetar l' : 16
acchetarono gli : 16
acchetarono pure : 16
acchetata e : 16
acchetatevi un : 16
accheti un : 16
acchiappano l' : 16
acchiappata in : 16
acchiappata la : 16
acchiappava tutte : 16
acchiappino alla : 16
acchiappi questo : 16
acciaiato per : 16
acciaio damaschino : 16
acciaio il : 16
acciaro e : 16
acciaro o : 16
accidente e : 16
accidente pel : 16
accidenti che : 16
accieca facilmente : 16
acciecato don : 16
accignersi a : 16
accignevasi a : 16
accinga a : 32
accinga all' : 16
accinga mai : 16
accinga non : 16
accingea don : 16
accingendosi a : 16
accingerai senza : 16
accingere alla : 16
accingermi a : 48
accingermi adesso : 16
accingermi alla : 16
accingersi a : 64
accingersi ad : 16
accingersi alla : 16
accingervi a : 16
accingervisi a : 16
accingesse a : 16
accingessi a : 16
accingete a : 16
accingeva alla : 16
accingevasi don : 16
accingi a : 16
accingiamo all' : 16
accingo a : 16
accingono a : 16
accinse a : 16
accinse alla : 16
accinse di : 16
accinsero colle : 16
accinto a : 32
accinto ad : 16
accinto talvolta : 16
acclamarono le : 16
accoccava non : 16
accogliendola fra : 16
accoglienza a : 16
accoglienza ancor : 16
accoglienza che : 48
accoglienza da : 16
accoglienze ospitali : 16
accogliere amorevolmente : 16
accogliere don : 16
accogliere i : 32
accogliere il : 16
accogliere la : 16
accogliere un : 16
accoglierla alle : 16
accoglierlo tutta : 16
accogliessero a : 16
accoglietemi per : 16
accoglieva il : 16
accoglimenti e : 16
accoglimento che : 16
accoglimento colle : 16
accolga il : 32
accolga seduta : 16
accolgono queste : 16
accolgono tanto : 16
accolse come : 16
accolse con : 32
accolse e : 16
accolse facendo : 16
accolsero don : 16
accolta con : 16
accolte nelle : 16
accolti dalle : 16
accolti e : 16
accolti i : 16
accolti in : 16
accolto a : 16
accolto come : 16
accolto con : 32
accolto da : 16
accolto e : 16
accolto il : 32
accolto in : 16
accolto o : 16
accomiatarsi dalla : 16
accommiatandosi con : 16
accommiatarono da : 32
accomodandosi ben : 16
accomodare al : 16
accomodarlo d' : 16
accomodarono sopra : 16
accomodarono tutti : 16
accomodarsi all' : 16
accomodarsi sulla : 16
accomodassero di : 16
accomodata la : 16
accomodate a : 16
accomodate parole : 16
accomodatisi dunque : 16
accomodatisi gli : 16
accomodato e : 16
accomodato letto : 16
accomoderanno in : 16
accomodi di : 16
accomodo l' : 16
accompagna coll' : 16
accompagnai con : 16
accompagna la : 16
accompagnamento al : 16
accompagnamento di : 32
accompagnamento due : 16
accompagnamento pervenne : 16
accompagnamento potevano : 16
accompagnando la : 16
accompagnandola con : 16
accompagnandomi a : 16
accompagnando ogni : 16
accompagnano questa : 16
accompagnano una : 16
accompagnar don : 16
accompagnare il : 32
accompagnare la : 32
accompagnare lo : 16
accompagnare punto : 16
accompagnare sancio : 16
accompagnare un : 16
accompagnarla dove : 16
accompagnarli mezza : 16
accompagnarmi alla : 16
accompagnarono al : 16
accompagnarsi a : 16
accompagnarsi cogli : 16
accompagnassero don : 16
accompagnassero due : 16
accompagnata da : 96
accompagnata dal : 32
accompagnate da : 64
accompagnate dal : 16
accompagnati cos : 16
accompagnati da : 80
accompagnati dal : 16
accompagnati dalla : 16
accompagnato ad : 16
accompagnato da : 64
accompagnato dal : 32
accompagnato era : 16
accompagnato quell' : 16
accompagnatore qui : 16
accompagnato unicamente : 16
accompagnava la : 16
accompagnavano colla : 16
accompagnavano e : 16
accompagnavano gli : 16
accompagnavano il : 32
accompagnava ogni : 16
accompagneranno quel : 16
accompagni a : 16
accompagni ad : 16
accompagniamo non : 16
accompagni cogli : 16
accompagni e : 80
accompagni ed : 16
accompagnino e : 16
accompagnino il : 16
acconceranno lo : 16
acconce risposte : 16
acconcia attraverso : 16
acconcia come : 16
acconcia eleganza : 16
acconci alla : 16
acconciamente quattro : 16
acconciarono di : 16
acconciarono don : 16
acconciatura e : 16
acconciature di : 16
acconcime da : 16
acconcio a : 16
acconcio al : 32
acconcio alcune : 16
acconcio ella : 16
acconcio il : 32
acconcio quello : 16
acconcio rimedio : 16
accondisceso a' : 16
acconsente che : 16
acconsentire a : 16
acconsentirono di : 16
acconsentisse chilteria : 16
acconsentissero che : 16
acconsentito a : 16
acconsentito che : 16
acconsentiva all' : 16
acconsento se : 16
accoppare un : 16
accoppiare al : 16
accoppiate a : 16
accorcia il : 16
accorciare i : 16
accorciata dalla : 16
accorda colla : 16
accorda con : 16
accordai con : 16
accordammo che : 16
accordando un : 16
accordano colle : 16
accordarci e : 16
accordarci il : 16
accordargli in : 16
accordarono a : 16
accordarono che : 16
accordaronsi nel : 16
accordata a : 16
accordata l' : 16
accordati insieme : 16
accordatoci per : 16
accordato con : 16
accordato il : 16
accordato perch : 16
accordavano eglino : 16
accordo a : 16
accordo ad : 16
accordo ce : 16
accordo che : 48
accordo col : 16
accordo con : 16
accordo da : 16
accordo fatto : 16
accordo le : 16
accordo prima : 16
accorgano che : 16
accorge di : 16
accorgemmo che : 16
accorgemmo di : 16
accorgendosi che : 64
accorgendosi i : 16
accorgendosi maestro : 16
accorgeranno i : 16
accorgercene pur : 16
accorgermi che : 16
accorgersi che : 16
accorgersi di : 16
accorgerti ed : 16
accorgesse della : 16
accorgessi della : 16
accorgo bene : 16
accorgo che : 48
accorgo io : 16
accorra con : 16
accorra la : 16
accorrer ad : 16
accorrere a : 48
accorrere alla : 32
accorrere in : 32
accorressero a : 16
accorrete a : 16
accorreva in : 16
accorrevano a : 16
accorsa fra : 16
accorse a : 48
accorse ad : 16
accorse al : 16
accorse anche : 16
accorse ch' : 32
accorse che : 128
accorse della : 16
accorse delle : 16
accorse di : 80
accorse don : 16
accorse il : 16
accorse lasciando : 16
accorse per : 16
accorsero a : 32
accorsero anche : 16
accorsero che : 80
accorsero coi : 16
accorsero della : 16
accorsero genti : 16
accorsero molto : 16
accorsero nondimeno : 16
accorsero tutti : 16
accorse subito : 16
accorse un : 16
accorsi a : 32
accorsi all' : 16
accorsi che : 32
accorsi di : 16
accorta ch' : 16
accorta dorotea : 16
accorta e : 16
accortamente uno : 16
accorte e : 16
accortezza d' : 16
accortezza del : 16
accortezza ed : 16
accortezza mia : 16
accortezze di : 16
accorti delle : 16
accorti nel : 16
accorto biscaino : 16
accorto capitano : 16
accorto che : 16
accorto da : 16
accorto del : 16
accorto della : 16
accorto e : 16
accorto l' : 16
accorto pazzo : 16
accorto per : 16
accorto scudiere : 16
accortosene don : 16
accortosi chestava : 16
accortosi pertanto : 16
accostammo tanto : 16
accostando il : 16
accostandosegli siffattamente : 16
accostandosi a : 48
accostandosi ad : 16
accostandosi gli : 16
accostano alla : 16
accostarla alle : 16
accostarmi temendo : 16
accostarono al : 16
accostarono e : 16
accostarono mentre : 16
accostarono tanto : 16
accostarono tutti : 16
accostaronsi a : 16
accostaronsi allora : 16
accostar pane : 16
accostarsegli per : 16
accostasse all' : 16
accostassimo a : 16
accostata la : 16
accostatasi questa : 16
accostatevi pure : 16
accostati a : 16
accostati ai : 16
accostati e : 16
accostatosi a : 32
accostatosi ad : 16
accostatosi al : 16
accosto a : 16
accosto al : 16
accosto e : 16
accostossi a : 16
accostossi ad : 16
accostossi allo : 16
accostossi don : 16
accostossi il : 16
accostumata mai : 16
accostumate a : 16
accostumate ad : 16
accostumati ad : 16
accostumato a : 32
accovacciarsi sotto : 16
accovacciato e : 16
accrebbe di : 16
accrebbe dopoch : 16
accrebbe in : 48
accrebbe la : 32
accrebbe lo : 16
accrebbe nel : 16
accrebbe poi : 16
accrebbero l' : 16
accrebbe sentendosi : 16
accrebbi la : 16
accreditando l' : 16
accreditano questa : 16
accreditare ed : 16
accreditare il : 16
accreditare la : 16
accreditato non : 16
accreditavo ogni : 16
accresca danno : 16
accresca lo : 16
accresca pure : 16
accresce alla : 16
accresceano in : 16
accresce e : 16
accresce il : 16
accresceranno almeno : 16
accresceranno le : 16
accrescere afflizione : 16
accrescere il : 32
accrescere in : 16
accrescere la : 16
accrescere lo : 16
accrescer il : 16
accrescerla o : 16
accrescerle perfezione : 16
accrescersi la : 16
accrescimenti di : 16
accrescimento della : 16
accrescimento di : 16
accresciuta dal : 16
accrescono eglino : 16
accrescono la : 32
accudire ai : 16
accumula in : 16
accuorarti per : 16
accuratamente foss' : 16
accuratamente quanto : 16
accurate indagini : 16
accusa di : 16
accusandosi pi : 16
accusane il : 16
accusano similmente : 16
accusar di : 16
accusare me : 16
accusar l' : 16
accusarmi di : 32
accusarne la : 16
accusarsi la : 16
accusato al : 32
accusato di : 48
accuse apposte : 16
accuse che : 16
accusi chi : 16
accusi codardi : 16
accusi di : 16
accuso e : 16
a cedere : 16
a celarmi : 16
a celarti : 16
a celebrare : 16
a celebrit : 32
a cena : 48
a cenare : 32
a cenni : 32
a censo : 16
a censurare : 16
a centinaia : 16
a cento : 16
acerbacontesa e : 16
acerbamente in : 16
acerba morte : 16
acerbo rigore : 16
a cercar : 144
a cercare : 352
a cercarla : 32
a cercarle : 16
a cercarlo : 96
a cercarmi : 32
a cercarne : 32
a cercarsi : 32
a certi : 16
a certo : 16
aceto e : 16
a che : 256
a chi : 944
a chiamar : 16
a chiamare : 176
achiamare il : 16
a chiamarlo : 16
a chiamarsi : 16
a chiamarti : 48
a chiara : 16
a chiarezza : 16
a chiave : 16
a chicchesia : 32
a chicchessia : 80
a chieder : 16
a chiedere : 64
a chiederle : 16
a chiedervi : 16
a chilteria : 16
a chinee : 16
a chiudere : 16
a chiudergli : 16
a chiuderle : 16
a ci : 768
a ciascheduno : 16
a ciascuna : 16
a ciascuno : 80
a cibarsi : 32
a cibi : 16
a cide : 32
a ciel : 32
a cielo : 96
a cimentar : 16
a cimentare : 16
a cimentarmi : 16
a cimenti : 32
a cimento : 112
a cinghiare : 16
a cinguettare : 16
a cinquanta : 32
a cinque : 32
a cintola : 32
a circostanza : 32
a clori : 16
a coda : 16
a cogliere : 64
a cognizione : 96
a colei : 16
a collocarvela : 16
a coloro : 64
a colpa : 48
a colpi : 16
a colpire : 48
a colui : 128
a comandare : 16
a combattere : 48
a combattermi : 16
a commedie : 16
a commetterla : 16
a comodo : 16
a compagno : 48
a comparire : 32
a compassione : 64
a compensarlo : 16
a comperare : 16
a comperarsi : 16
a compiacere : 48
a compiacervi : 16
a compiere : 64
a compor : 16
a comporlo : 32
a comporre : 16
a comprendere : 64
a concedermi : 16
a concepire : 32
a conchiudere : 16
a conciarlo : 16
a concludere : 16
a condizione : 176
a condurlo : 16
a condurre : 32
a condurti : 16
a conferire : 16
a confermare : 16
a confessare : 144
a conflitto : 16
a confondere : 16
a confondermi : 16
a conformarsi : 16
a confortarsi : 16
a conforto : 16
a confronto : 48
a confusione : 16
a conoscer : 48
a conoscere : 208
